A,B,C,OD,l,epsilon_r,maxFreq,middleFreq
0.035,0.0175,0.008,0.06,0.008,2.8,4.5188840886876,1.94927753584699
0.02,0.02,0.008,0.06,0.008,2.8,9.91755092030554,2.53630121014484
0.04,0.0175,0.008,0.06,0.008,2.8,4.11898284190109,1.79085921958833
0.025,0.02,0.008,0.06,0.008,2.8,9.91755092030554,2.53630121014484
0.03,0.02,0.008,0.06,0.008,2.8,4.63885446272356,2.24978942813642
0.035,0.02,0.008,0.06,0.008,2.8,4.5188840886876,2.0884084450987
0.04,0.02,0.008,0.06,0.008,2.8,4.15897296657974,1.93583559154562
0.02,0.015,0.009,0.06,0.008,2.8,9.91757067122894,2.68747631112155
0.035,0.015,0.009,0.06,0.008,2.8,3.11923593691878,1.74265373952514
0.025,0.015,0.009,0.06,0.008,2.8,9.91757067122894,2.68747631112155
0.03,0.015,0.009,0.06,0.008,2.8,2.95927511964089,1.7577308172159
0.02,0.0175,0.009,0.06,0.008,2.8,9.91757067122894,2.68747631112155
0.04,0.015,0.009,0.06,0.008,2.8,3.87904981898874,1.72962606760335
0.025,0.0175,0.009,0.06,0.008,2.8,9.91757067122894,2.68747631112155
0.03,0.0175,0.009,0.06,0.008,2.8,4.19897145354451,2.03122634072236
0.035,0.0175,0.009,0.06,0.008,2.8,3.23920654987719,1.84258103761316
0.04,0.0175,0.009,0.06,0.008,2.8,3.87904981898874,1.87886305506781
0.025,0.02,0.009,0.06,0.008,2.8,9.91757067122894,2.68747631112155
0.03,0.02,0.009,0.06,0.008,2.8,4.75883431401711,2.30186742256916
0.02,0.02,0.009,0.06,0.008,2.8,9.91757067122894,2.68747631112155
0.035,0.02,0.009,0.06,0.008,2.8,4.23896165786398,2.26207491356564
0.02,0.015,0.01,0.06,0.008,2.8,9.71761964963159,2.00059378741955
0.04,0.02,0.009,0.06,0.008,2.8,3.95903022762768,2.0918438855845
0.03,0.015,0.01,0.06,0.008,2.8,2.91928491532142,1.40062417029626
0.025,0.015,0.01,0.06,0.008,2.8,9.71761964963159,2.00059378741955
0.04,0.015,0.01,0.06,0.008,2.8,3.67909879739138,1.35386198737368
0.035,0.015,0.01,0.06,0.008,2.8,2.75932409804354,1.30801260785115
0.025,0.0175,0.01,0.06,0.008,2.8,9.71761964963159,2.00059378741955
0.03,0.0175,0.01,0.06,0.008,2.8,3.39916736715508,1.4778510265789
0.02,0.0175,0.01,0.06,0.008,2.8,9.71761964963159,2.00059378741955
0.035,0.0175,0.01,0.06,0.008,2.8,3.99902043194715,1.53638459104821
0.02,0.02,0.01,0.06,0.008,2.8,9.71761964963159,2.00059378741955
0.04,0.0175,0.01,0.06,0.008,2.8,3.67909879739138,1.42180841719484
0.04,0.02,0.01,0.06,0.008,2.8,3.7990694103498,1.53436861335096
0.03,0.02,0.01,0.06,0.008,2.8,4.47890288378081,1.73056913660739
0.025,0.02,0.01,0.06,0.008,2.8,9.71761964963159,2.00059378741955
0.035,0.02,0.01,0.06,0.008,2.8,4.03901063626663,1.60552514641255
